id,text,label
16253,RT @JusDontBlowMyHi: Y'all lucky DMX stopped makin music I'd still be barking at these hoes foo,not_hate
23620,Yeah okay let's just put a fire cracker in a cow pie and see what happens,not_hate
12614,"Ladies, do y'all shave/wax before visiting ur OBGYN or let it grow out @ because u don't wanna seem like a hoe?",not_hate
14851,RT @BrosConfessions: Ungrateful bitches ... http://t.co/aQCGKBxkcm,not_hate
14112,"Peace fags, just remember I'm best Lux support NA. Drop LustBoy pick me and Kakao up TSM.",hate
6291,@iAM_tRoyal5 lol I would've beat that hoe up,not_hate
23470,"Would you rather be a monkey or a gorilla? &#8212; Neither, they're both hairy! But if I had to choose, a monkey. They... http://t.co/h2RQF5OqWb",not_hate
14461,"RT @AdviceToWriters: A bird doesn't sing because it has an answer, it sings because it has a song.
MAYA ANGELOU

#poetry #writing",not_hate
24619,"jig levitating RT @mashable: Samsung made fun of #Bendgate. Now the Galaxy Note 4 fails, too. http://t.co/aJFlpcj7yR http://t.co/aSVspIQXmH",not_hate
2125,' Mannnnn wake y'all bitch asses up Blood !,not_hate
6446,@jkatz_ @kaylee_binion14 bitch. &#128534;,not_hate
13770,Not allowed to play flappy bird around grandma because she swears at me to stop swearing lol,not_hate
22957,Washing my coon hair,hate
24711,"mashed potatoes , string beans , yellow rice , and chicken &#128523;",not_hate
21979,The baddest bitch is back on chestnut! @ryancommakerry #welcomehome,not_hate
13170,"Miley Cyrus went from a a singer who had her t.v show to a stripper who can't rap,she need a big ass and tiddy and she will be dat bitch",not_hate
6879,@milfmob @yoPapi_chulo fight me you fucking obese niglet,hate
18743,RT @_PrettyJade: I don't care about none of these bitches &#128524;,not_hate
8400,Breakfast fried chicken jerk chicken Tater tots white rice nd press yellow rice nd beans Mac nd cheese http://t.co/Usz8gJnZl0,not_hate
17004,"RT @Neonte: We was wearing shorts about a week ago,week ago.
Grab ya hoodies Cause it's freezing hoe, freezing hoe &#128514;&#128514;&#128514; http://t.co/eC7dT54u&#8230;",not_hate
1885,"&#8220;@m_stew4: @what_evaittakes lol the bitch not responding,&#8221;lol it's cool imma get one I jus trusted that more",not_hate
11412,I would commit the rest of my gay life to being a complete 100% submissive bottom if I could be Zac Efron's bitch. #NoShame #gayboyproblems,not_hate
6540,"@kay_laa_laa I know, all the bitches love me&#128129;",not_hate
14482,RT @AliAbunimah: The people of the ghetto are rising up and fighting back. Whose side are you on? #Gaza,not_hate
13604,Nigga I fire this nina like it's the first day in the job and the bitch over slept.,not_hate
24514,i was lit den a bitch last night,not_hate
3169,@EGP_Guamo @SonicBoomBrad I'm assuming it would look something like a bitch slap and a Dickpunch,not_hate
5795,"@bogglethemind83 @AJ0427 Was about to fly to Portugal &amp; open a can of whoopass since they started to zoom out during ""Still run this bitch""",not_hate
20045,RT @machinegunkelly: Tbt: I tried on French's outfit for the Freshman cover at that shoot high as fuck off weed brownies&#8230; http://t.co/HKiWy&#8230;,not_hate
12050,Im smoking good n my bitch conceited! --- @JAYREIDOFFICIAL,not_hate
3339,@GiantRaiderKing oh you sneaky son of a bitch you,not_hate
6323,@iank12 bitch,not_hate
3085,@Dem_lips_tho u knw me homie!!! show the bitches no love!!!,not_hate
